id,title,date,description,digitized,language,subject,location_city,location_state,location_country,image_url,url,item_date_issued,item_created_published,item_medium,item_language,item_newspaper_title,item_lccn,item_place_of_publication
http://www.loc.gov/item/sn83045293/1916-11-25/ed-1/,"the milwaukee leader (milwaukee, wis.), november 25, 1916",1916-11-25,"milwaukee, wis.",True,english,"wisconsin, milwaukee, united states, newspapers, milwaukee (wis.), socialism",milwaukee,wisconsin,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:whi:batch_whi_dubliner_ver02:data:sn83045293:00517013043:1916112501:0615/full/pct:3.125/0/default.jpg#h=310&w=224,https://www.loc.gov/item/sn83045293/1916-11-25/ed-1/,1916-11-25,"milwaukee, wis., november 25, 1916",12 pages,eng,the milwaukee leader,sn83045293,"milwaukee, wis."
http://www.loc.gov/item/sn82014248/1881-09-02/ed-1/,"daily kennebec journal (augusta, me.), september 2, 1881",1881-09-02,"augusta, me.",True,english,"augusta (me.), maine, united states, newspapers, augusta, kennebec county (me.), kennebec county",augusta,maine,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_eddington_ver01:data:sn82014248:00332895801:1881090201:0216/full/pct:6.25/0/default.jpg#h=438&w=333,https://www.loc.gov/item/sn82014248/1881-09-02/ed-1/,1881-09-02,"augusta, me., september 2, 1881",4 pages,eng,daily kennebec journal,sn82014248,"augusta, me."
http://www.loc.gov/item/sn85038485/1916-02-27/ed-1/,"the birmingham age-herald (birmingham, ala.), february 27, 1916",1916-02-27,"birmingham, ala.",True,english,"jefferson, united states, newspapers, birmingham (ala.), birmingham, alabama",birmingham,alabama,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:au:batch_au_ayler_ver01:data:sn85038485:00340583711:1916022701:0910/full/pct:6.25/0/default.jpg#h=434&w=308,https://www.loc.gov/item/sn85038485/1916-02-27/ed-1/,1916-02-27,"birmingham, ala., february 27, 1916",52 pages,eng,the birmingham age-herald,sn85038485,"birmingham, ala."
http://www.loc.gov/item/sn86086186/1901-07-12/ed-1/,"nord stern (la crosse, wis.), july 12, 1901",1901-07-12,"la crosse, wis.",True,"english, german","wisconsin, la crosse (wis.), united states, newspapers, la crosse",la crosse,wisconsin,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:whi:batch_whi_bowtruckle_ver02:data:sn86086186:00414215105:1901071201:0633/full/pct:3.125/0/default.jpg#h=277&w=207,https://www.loc.gov/item/sn86086186/1901-07-12/ed-1/,1901-07-12,"la crosse, wis., july 12, 1901",8 pages,"ger, eng",nord stern,sn86086186,"la crosse, wis."
http://www.loc.gov/item/sn84038367/1868-01-31/ed-1/,"canton weekly register (canton, ill.), january 31, 1868",1868-01-31,"canton, ill.",True,english,"fulton, canton (ill.), united states, newspapers, canton, illinois",canton,illinois,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:iune:batch_iune_albatross_ver01:data:sn84038367:00514151167:1868013101:0977/full/pct:6.25/0/default.jpg#h=359&w=277,https://www.loc.gov/item/sn84038367/1868-01-31/ed-1/,1868-01-31,"canton, ill., january 31, 1868",4 pages,eng,canton weekly register,sn84038367,"canton, ill."
http://www.loc.gov/item/sn94050655/1944-01-28/ed-1/,"westside enterprise (tolleson, ariz.), january 28, 1944",1944-01-28,"tolleson, ariz.",True,english,"newspapers, maricopa county, goodyear, tolleson, litchfield park (ariz.), arizona, united states, maricopa, litchfield park, goodyear (ariz.), tolleson (ariz.), maricopa county (ariz.)","tolleson, litchfield park, goodyear",arizona,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:az:batch_az_anthillgarnet_ver04:data:sn94050655:00517019197:1944012801:0514/full/pct:6.25/0/default.jpg#h=501&w=370,https://www.loc.gov/item/sn94050655/1944-01-28/ed-1/,1944-01-28,"tolleson, ariz., january 28, 1944",4 pages,eng,westside enterprise,sn94050655,"tolleson, ariz."
http://www.loc.gov/item/sn86071593/1916-10-04/ed-1/,"the brattleboro daily reformer (brattleboro, vt.), october 4, 1916",1916-10-04,"brattleboro, vt.",True,english,"windham, united states, brattleboro, brattleboro (vt.), vermont, newspapers",brattleboro,vermont,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vtu:batch_vtu_horseradish_ver01:data:sn86071593:00415628900:1916100401:0019/full/pct:6.25/0/default.jpg#h=505&w=397,https://www.loc.gov/item/sn86071593/1916-10-04/ed-1/,1916-10-04,"brattleboro, vt., october 4, 1916",8 pages,eng,the brattleboro daily reformer.,sn86071593,"brattleboro, vt."
http://www.loc.gov/item/sn87055779/1929-07-30/ed-1/,"south bend news-times (south bend, ind.), july 30, 1929",1929-07-30,"south bend, ind.",True,english,"indiana, south bend (ind.), united states, south bend, saint joseph, newspapers",south bend,indiana,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:in:batch_in_ilia_ver01:data:sn87055779:0027174562A:1929073001:0190/full/pct:6.25/0/default.jpg#h=496&w=372,https://www.loc.gov/item/sn87055779/1929-07-30/ed-1/,1929-07-30,"south bend, ind., july 30, 1929",20 pages,eng,south bend news-times,sn87055779,"south bend, ind."
http://www.loc.gov/item/sn88064384/1914-05-16/ed-1/,"the st. mary banner (franklin, parish of st. mary, la.), may 16, 1914",1914-05-16,"franklin, parish of st. mary, la.",True,english,"united states, louisiana, franklin, saint mary, franklin (la.), newspapers",franklin,louisiana,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:lu:batch_lu_kadabra_ver01:data:sn88064384:00295873875:1914051601:0589/full/pct:6.25/0/default.jpg#h=440&w=277,https://www.loc.gov/item/sn88064384/1914-05-16/ed-1/,1914-05-16,"franklin, parish of st. mary, la., may 16, 1914",8 pages,eng,the st. mary banner.,sn88064384,"franklin, parish of st. mary, la."
http://www.loc.gov/item/sn82014248/1884-09-03/ed-1/,"daily kennebec journal (augusta, me.), september 3, 1884",1884-09-03,"augusta, me.",True,english,"augusta, united states, augusta (me.), kennebec county (me.), maine, kennebec county, newspapers",augusta,maine,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_eddington_ver01:data:sn82014248:00332895862:1884090301:0220/full/pct:6.25/0/default.jpg#h=439&w=325,https://www.loc.gov/item/sn82014248/1884-09-03/ed-1/,1884-09-03,"augusta, me., september 3, 1884",4 pages,eng,daily kennebec journal,sn82014248,"augusta, me."
http://www.loc.gov/item/sn86063034/1894-07-25/ed-1/,"the morning news (savannah, ga.), july 25, 1894",1894-07-25,"savannah, ga.",True,english,"chatham county (ga.), georgia, united states, chatham, savannah (ga.), chatham county, savannah, newspapers",savannah,georgia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:gu:batch_gu_drew_ver02:data:sn86063034:00414182124:1894072501:1335/full/pct:3.125/0/default.jpg#h=288&w=223,https://www.loc.gov/item/sn86063034/1894-07-25/ed-1/,1894-07-25,"savannah, ga., july 25, 1894",8 pages,eng,the morning news,sn86063034,"savannah, ga."
http://www.loc.gov/item/sn90059182/1940-02-29/ed-1/,"the ely miner (ely, minn.), february 29, 1940",1940-02-29,"ely, minn.",True,english,"saint louis county, saint louis, ely (minn.), united states, minnesota, ely, saint louis county (minn.), newspapers",ely,minnesota,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mnhi:batch_mnhi_motocross_ver01:data:sn90059182:00513689561:1940022901:0081/full/pct:3.125/0/default.jpg#h=291&w=215,https://www.loc.gov/item/sn90059182/1940-02-29/ed-1/,1940-02-29,"ely, minn., february 29, 1940",10 pages,eng,the ely miner,sn90059182,"ely, minn."
http://www.loc.gov/item/sn85042448/1892-01-26/ed-1/,"the dalles daily chronicle (the dalles, or.), january 26, 1892",1892-01-26,"the dalles, or.",True,english,"wasco, united states, oregon, dalles, dalles (or.), newspapers",dalles,oregon,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:oru:batch_oru_herringull_ver01:data:sn85042448:00200298731:1892012601:0090/full/pct:6.25/0/default.jpg#h=414&w=307,https://www.loc.gov/item/sn85042448/1892-01-26/ed-1/,1892-01-26,"the dalles, or., january 26, 1892",4 pages,eng,the dalles daily chronicle,sn85042448,"the dalles, or."
http://www.loc.gov/item/sn85026455/1875-07-31/ed-1/,"northern tribune (cheboygan, mich.), july 31, 1875",1875-07-31,"cheboygan, mich.",True,english,"cheboygan (mich.), cheboygan county (mich.), united states, cheboygan, cheboygan county, michigan, newspapers",cheboygan,michigan,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mimtptc:batch_mimtptc_alpena_ver01:data:sn85026455:00202198028:1875073101:0019/full/pct:3.125/0/default.jpg#h=381&w=290,https://www.loc.gov/item/sn85026455/1875-07-31/ed-1/,1875-07-31,"cheboygan, mich., july 31, 1875",4 pages,eng,northern tribune,sn85026455,"cheboygan, mich."
http://www.loc.gov/item/sn85042354/1904-10-28/ed-1/,"evening journal (wilmington, del.), october 28, 1904",1904-10-28,"wilmington, del.",True,english,"new castle, united states, wilmington (del.), wilmington, delaware, newspapers",wilmington,delaware,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:deu:batch_deu_christiana_ver01:data:sn85042354:00383343501:1904102801:0528/full/pct:6.25/0/default.jpg#h=442&w=320,https://www.loc.gov/item/sn85042354/1904-10-28/ed-1/,1904-10-28,"wilmington, del., october 28, 1904",8 pages,eng,evening journal,sn85042354,"wilmington, del."
http://www.loc.gov/item/sn83045087/1917-01-24/ed-1/,"draugas (chicago, ill.), january 24, 1917",1917-01-24,"chicago, ill.",True,"english, lithuanian","united states, lithuanian americans, religion, lithuanian, chicago (ill.), lithuanian american newspapers, chicago, lithuanian american catholics, illinois, cook county, newspapers",chicago,illinois,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:iune:batch_iune_iris_ver02:data:sn83045087:00279553718:1917012401:0083/full/pct:3.125/0/default.jpg#h=256&w=212,https://www.loc.gov/item/sn83045087/1917-01-24/ed-1/,1917-01-24,"chicago, ill., january 24, 1917",4 pages,"lit, eng",draugas,sn83045087,"chicago, ill."
http://www.loc.gov/item/sn85040613/1924-01-02/ed-1/,"vilas county news (eagle river, vilas county, wis.), january 2, 1924",1924-01-02,"eagle river, vilas county, wis.",True,english,"united states, wisconsin, eagle river, eagle river (wis.), vilas, newspapers",eagle river,wisconsin,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:whi:batch_whi_dynamite_ver01:data:sn85040613:00514151301:1924010201:0368/full/pct:6.25/0/default.jpg#h=508&w=332,https://www.loc.gov/item/sn85040613/1924-01-02/ed-1/,1924-01-02,"eagle river, vilas county, wis., january 2, 1924",8 pages,eng,vilas county news,sn85040613,"eagle river, vilas county, wis."
http://www.loc.gov/item/2022239691/1924-10-16/ed-1/,"the cordele dispatch and daily sentinel (cordele, georgia), october 16, 1924",1924-10-16,"cordele, georgia",True,english,"crisp, crisp county, georgia, cordele, united states, crisp county (ga.), cordele (ga.), newspapers",cordele,georgia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:gu:batch_gu_grouch_ver01:data:2022239691:00517010364:1924101601:0197/full/pct:3.125/0/default.jpg#h=278&w=216,https://www.loc.gov/item/2022239691/1924-10-16/ed-1/,1924-10-16,"cordele, georgia, october 16, 1924",8 pages,eng,the cordele dispatch and daily sentinel,2022239691,"cordele, georgia"
